eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
text-insert,user,1630333093277,"{'ops': [{'retain': 580}, {'insert': 's'}]}",,,581,[],0,0,5,30,0.75,1,0,1,170
text-insert,user,1630333093437,"{'ops': [{'retain': 581}, {'insert': 'e'}]}",,,582,[],0,0,5,30,0.75,1,0,1,171
text-insert,user,1630333093557,"{'ops': [{'retain': 582}, {'insert': ' '}]}",,,583,[],0,0,5,30,0.75,1,0,1,172
text-insert,user,1630333094456,"{'ops': [{'retain': 583}, {'insert': 'c'}]}",,,584,[],0,0,5,30,0.75,1,0,1,173
text-insert,user,1630333094553,"{'ops': [{'retain': 584}, {'insert': 'o'}]}",,,585,[],0,0,5,30,0.75,1,0,1,174
text-insert,user,1630333094687,"{'ops': [{'retain': 585}, {'insert': 'u'}]}",,,586,[],0,0,5,30,0.75,1,0,1,175
text-insert,user,1630333094852,"{'ops': [{'retain': 586}, {'insert': 'l'}]}",,,587,[],0,0,5,30,0.75,1,0,1,176
text-insert,user,1630333094922,"{'ops': [{'retain': 587}, {'insert': 'd'}]}",,,588,[],0,0,5,30,0.75,1,0,1,177
text-insert,user,1630333095076,"{'ops': [{'retain': 588}, {'insert': ' '}]}",,,589,[],0,0,5,30,0.75,1,0,1,178
text-insert,user,1630333095718,"{'ops': [{'retain': 589}, {'insert': 't'}]}",,,590,[],0,0,5,30,0.75,1,0,1,179
text-insert,user,1630333095878,"{'ops': [{'retain': 590}, {'insert': 'h'}]}",,,591,[],0,0,5,30,0.75,1,0,1,180
text-insert,user,1630333095965,"{'ops': [{'retain': 591}, {'insert': 'e'}]}",,,592,[],0,0,5,30,0.75,1,0,1,181
text-insert,user,1630333096123,"{'ops': [{'retain': 592}, {'insert': 'r'}]}",,,593,[],0,0,5,30,0.75,1,0,1,182
text-insert,user,1630333096186,"{'ops': [{'retain': 593}, {'insert': 'e'}]}",,,594,[],0,0,5,30,0.75,1,0,1,183
text-insert,user,1630333096422,"{'ops': [{'retain': 594}, {'insert': ' '}]}",,,595,[],0,0,5,30,0.75,1,0,1,184
text-insert,user,1630333096894,"{'ops': [{'retain': 595}, {'insert': 'b'}]}",,,596,[],0,0,5,30,0.75,1,0,1,185
text-insert,user,1630333097051,"{'ops': [{'retain': 596}, {'insert': 'e'}]}",,,597,[],0,0,5,30,0.75,1,0,1,186
text-insert,user,1630333097754,"{'ops': [{'retain': 597}, {'insert': '.'}]}",,,598,[],0,0,5,30,0.75,1,0,1,187
text-insert,user,1630333098033,"{'ops': [{'retain': 598}, {'insert': ' '}]}",,,599,[],0,0,5,30,0.75,1,0,1,188
text-insert,user,1630333099027,"{'ops': [{'retain': 599}, {'insert': ' '}]}",,,600,[],0,0,5,30,0.75,1,0,1,189
suggestion-get,user,1630333099487,,,,600,[],0,0,5,30,0.75,1,0,1,190
