,eventName,currentDoc,eventSource,insert,delete,revise,relocate,reflect,seekSugg,acceptSugg,dismissSugg,lowModification,highModification,narrativeProg,stylisticDev,characterization,argument,evidence,counterArg,rebuttal
11,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
12,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Yes, but if you are like most people who have sudden death syndrome, you have some kind of genetic defect.
",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
14,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore.""
",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
16,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean.""

",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,suggestion-close," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean.""

",user,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this!",api,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
22,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
24,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""
",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
26,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,suggestion-close," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ",user,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" 
""Where do I start?""
",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
30,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" 
""Where do I start?""


God pointed to a pearly gate. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" 
""Where do I start?""


God pointed to a pearly gate. ""Right through here.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
32,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" 
""Where do I start?""


God pointed to a pearly gate. ""Right through here. If you approve of someone, let 'em in.""

""Gotcha. And what if I don't approve?""

""You'll see."" God said with a smile.

",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" 
""Where do I start?""


God pointed to a pearly gate. ""Right through here. If you approve of someone, let 'em in.""

""Gotcha. And what if I don't approve?""

""You'll see."" God said with a smile. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" 
""Where do I start?""


God pointed to a pearly gate. ""Right through here. If you approve of someone, let 'em in.""

""Gotcha. And what if I don't approve?""

""You'll see."" God said with a smile.  

""Well, here goes nothing!""
",api,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" 
""Where do I start?""


God pointed to a pearly gate. ""Right through here. If you approve of someone, let 'em in.""

""Gotcha. And what if I don't approve?""

""You'll see."" God said with a smile.  

""Well, here goes nothing!""
 The first person walked up to be judged. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" 
""Where do I start?""


God pointed to a pearly gate. ""Right through here. If you approve of someone, let 'em in.""

""Gotcha. And what if I don't approve?""

""You'll see."" God said with a smile.  

""Well, here goes nothing!""
 The first person walked up to be judged. 
""What did you do in your life?
",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
37,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" 
""Yes you did.
 You wouldn't remember because it happened in your sleep."" said God.

""But I'm young and I'm healthy, or I was."" 
""Well, there was really no point you living anymore."" We decided to take you in your sleep. You see, we have an important job for you that must be done from the higher-ups, if you know what I mean."" 

 
""God, I am not ready for this! I have so much left to do!""

God waved his hand. ""We'll make it worth your while. It's a prestigious job."" 
""What would the job entail?""
 
""The job is to be the judge for all the new dead.""


""Me? Judging the new dead? I couldn't. I can't! That sounds like a job for-

""Me?"" said God. ""You see, I have a lot to do and I need some help in that realm. Here take this."" He held out a hand and offered a wooden gavel. ""You'll need this. You'll figure it out."" 
""Where do I start?""


God pointed to a pearly gate. ""Right through here. If you approve of someone, let 'em in.""

""Gotcha. And what if I don't approve?""

""You'll see."" God said with a smile.  

""Well, here goes nothing!""
 The first person walked up to be judged. 
""What did you do in your life?
 ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
