,eventName,currentDoc,eventSource,insert,delete,revise,relocate,reflect,seekSugg,acceptSugg,dismissSugg,lowModification,highModification,narrativeProg,stylisticDev,characterization,argument,evidence,counterArg,rebuttal
10,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
12,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete.""

",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,suggestion-close," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete.""

",user,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
17,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
19,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
21,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
23,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. It was a happy ending, but it needed more.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
25,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. It was a happy ending, but it needed more. She looked back to the film shots of the love story, and the man, and how they danced together. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. It was a happy ending, but it needed more. She looked back to the film shots of the love story, and the man, and how they danced together. She wrote a note on the paper.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
27,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. It was a happy ending, but it needed more. She looked back to the film shots of the love story, and the man, and how they danced together. She wrote a note on the paper. She spliced the film from the dance scene to the last day of her life. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. It was a happy ending, but it needed more. She looked back to the film shots of the love story, and the man, and how they danced together. She wrote a note on the paper. She spliced the film from the dance scene to the last day of her life. She wanted to end it all with a bang.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
29,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. It was a happy ending, but it needed more. She looked back to the film shots of the love story, and the man, and how they danced together. She wrote a note on the paper. She spliced the film from the dance scene to the last day of her life. She wanted to end it all with a bang. It was ready. It was time to watch the New Film. 

",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. It was a happy ending, but it needed more. She looked back to the film shots of the love story, and the man, and how they danced together. She wrote a note on the paper. She spliced the film from the dance scene to the last day of her life. She wanted to end it all with a bang. It was ready. It was time to watch the New Film. 

",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,suggestion-close," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. It was a happy ending, but it needed more. She looked back to the film shots of the love story, and the man, and how they danced together. She wrote a note on the paper. She spliced the film from the dance scene to the last day of her life. She wanted to end it all with a bang. It was ready. It was time to watch the New Film. 

",user,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you. ""Give me a little more time, please, and I'll make the film the best it can be. I'll give it the best love story, and finish it off with a bang!"" 
The man raises a hand and smiles.
 ""That's fine. Go ahead, and let us know when it's complete."" 

""Okay"" and it was time to get to work.

On a piece of paper, the Main Character sketched out the story. There was childhood, romantic life, career, old age... Romantic life needed more. Much more. And the ending wasn't an ending at all. The Main Character scribbled some notes onto the sketch, and was ready for the next step. The Main Character traveled back to the part of the film with the love story. It wasn't a romance. It was too dull, too predictable. The Main Character would have to spice it up a little bit. She added new music to the scenes with the love interest. The melody was more complex. ""This will be more fun to watch.""

Now it was time to work on the ending. It was a happy ending, but it needed more. She looked back to the film shots of the love story, and the man, and how they danced together. She wrote a note on the paper. She spliced the film from the dance scene to the last day of her life. She wanted to end it all with a bang. It was ready. It was time to watch the New Film. 

The audience gathered again in the cinema. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
